"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"purS"	9185.63168883731	9.75217154635419	0.17885649575289	54.5251180579311	0	0
"purQ"	35109.3470497609	9.37325846035853	0.527912057912932	17.7553407236333	1.56716679510562e-70	5.1109101262224e-70
"purC"	36987.4307501956	9.23184409788665	0.335154834721329	27.545012458384	5.07805516526645e-167	3.08122630147443e-166
"purL"	108547.24431962	9.1840339348143	0.410160297588901	22.3913284362285	4.78124493794576e-111	2.12919182470509e-110
"purF"	49277.6163347872	9.08377861472767	0.341701141556928	26.5839867357139	1.03977423432181e-155	5.9309968497083e-155
"purM"	44080.9629504991	8.63574236571783	0.25501784563399	33.8632864858882	2.31354177307113e-251	1.93600226394909e-250
"purH"	65142.4261883122	8.55772173756855	0.270223229054005	31.6690825119933	4.14208811358256e-220	3.21857152907461e-219
"purD"	72313.9530769545	8.47638073831845	0.259152461295738	32.7080850243032	1.19859803576426e-234	9.5574073741831e-234
"purN"	16039.3607621684	8.46772220387785	0.292213337262926	28.9778772016104	1.25039833260955e-184	8.24396822755128e-184
"chbC"	6932.06080649371	7.64944014152552	0.232089182395286	32.9590550605554	3.13811108816725e-238	2.52875300914218e-237
"corA_2"	7164.22940321851	7.63087073750865	0.117491443480054	64.948310374654	0	0
"gspA_2"	7413.51954207822	7.60650170584968	0.106762719332304	71.2467961983438	0	0
"dppE"	144418.386189039	7.52845954496718	0.0823650989293762	91.4035148725122	0	0
"yghA"	19484.0564439358	7.52160007825065	0.205415569808135	36.6165042176505	1.56237453992346e-293	1.53515898342157e-292
"gspA_1"	4916.76161267498	7.4671850857434	0.123261557944981	60.5799992328222	0	0
"oppB"	13555.925670302	7.33654399076035	0.0872042553181881	84.1305732614882	0	0
"folT_1"	7633.01067383291	7.20454739935523	0.19601566036491	36.7549581800912	9.68820109205861e-296	9.58125341766576e-295
"dppC"	12173.5377503552	6.80202896621653	0.0856386283130722	79.4271125099073	0	0
"oppD_2"	24494.4071061504	6.6150914659213	0.0719423949735657	91.9498366485009	0	0
"oppF_2"	21209.9490528093	6.61039814567378	0.0738447182613528	89.5175484626825	0	0
"celA_1"	462.391994519529	6.30596690758572	0.258493949432075	24.3950271232277	1.93117574771622e-131	9.70686687713465e-131
"feuB_1"	4960.69807206262	6.30178382519794	0.0917280364187263	68.7007383046023	0	0
"clpP_2"	202.685331156087	6.22539022538767	0.375981914009373	16.5576853391743	1.40911548473249e-61	4.20800565342663e-61
"yclQ"	19567.2904372188	6.18745650017853	0.080500300055647	76.8625271694809	0	0
"hmuU"	10025.012040918	6.18068066501478	0.0921436015600319	67.0766125956999	0	0
"bioY2"	29560.1880963242	6.10938061715362	0.06704642999232	91.1216394050128	0	0
"ydhF"	63788.2828421289	6.00502627838517	0.0842754399849555	71.2547603365483	0	0
"purE"	6177.04009319688	5.87135009071866	0.0932415272367891	62.9692612799898	0	0
"celA_3"	3552.58933855207	5.8315280268041	0.113540599114928	51.360729750081	0	0
"niaX"	19281.6960093537	5.81258150633597	0.0955216552861295	60.8509294455245	0	0
"licA_2"	5791.76299555031	5.81190174547781	0.117450081341508	49.4840163505602	0	0
"ysnF"	22395.6024349281	5.79484742179117	0.0659126544039312	87.9170695550921	0	0
"fhuC"	6275.59776532257	5.75202221153493	0.0996044530846399	57.7486450997034	0	0
"gldA"	4241.88585336447	5.74171746571526	0.0896575171644395	64.0405584194848	0	0
"adhE"	102511.387471405	5.25177082865066	0.0607876715218956	86.3953281506923	0	0
"vioD"	3625.02787265023	5.18742018126717	0.091018480424986	56.9930431385574	0	0
"ulaC"	4449.91102753241	5.03416068008041	0.0965691683461855	52.130102871278	0	0
"arcD1_1"	2805.63058780092	5.00541307304367	0.0887986450134521	56.368124449257	0	0
"pbuO"	26625.2975366887	4.86089751448996	0.0676167604314188	71.8889441534277	0	0
"mepM_1"	440.802677527072	4.79347731800039	0.178228280997555	26.8951554218612	2.50232916397118e-159	1.47144684043556e-158
"smc_6"	1148.06339757256	4.5994095449174	0.113252266153416	40.6120751587157	0	0
"yidA_2"	1865.46894250219	4.5444945273766	0.0918195161642196	49.4937755852335	0	0
"yecD_2"	2978.82109781279	4.54097267794953	0.0904459336190302	50.2064879674601	0	0
"mtlA_1"	34.1870991843222	4.46426532059234	0.564930314547981	7.90232919995512	2.73739294106571e-15	4.64776973159763e-15
"licR_1"	1082.77673747088	4.45104206296386	0.148237528782181	30.0264184078795	4.4369719565252e-198	3.11405911971792e-197
"manX_3"	33.5023462768601	4.43070473759983	0.578379543007952	7.66054884057148	1.8514016424026e-14	3.11912024488845e-14
"rclA"	3894.9406390544	4.41458872574226	0.0862164401356051	51.2035606990824	0	0
"yvbW"	2849.00314066499	4.39992265160001	0.0917672516402884	47.9465449052232	0	0
"mdxE"	1077.67825083731	4.33477476335833	0.139547890095074	31.0629903498007	7.61799217814486e-212	5.68735396436991e-211
"ydbD"	1181.56947014179	4.15950579867132	0.111180402515266	37.4122210800611	2.47290465560395e-306	2.56206380305089e-305
"dcuS_2"	1003.37409156041	4.14429536891435	0.104998243770543	39.4701398813017	0	0
"folT_2"	132168.146513938	4.00167319664403	0.059805005290653	66.91201141436	0	0
"yfiY"	7460.32546946697	3.98270785950738	0.058689973576344	67.8601065363689	0	0
"sorC_2"	2050.4695417804	3.94727438550629	0.100724906911039	39.1886625320245	0	0
"rbsD"	661.767961876362	3.92781600607731	0.149905392609223	26.201966038116	2.52378511389321e-151	1.41313409134535e-150
"purB"	55278.3519193923	3.89704872865811	0.0589856205983206	66.0677753175841	0	0
"spxA_1"	1747.47892124437	3.86579942850991	0.0881901721249689	43.8348098814449	0	0
"msrA_1"	1559.40705803586	3.83741566589375	0.103324192472279	37.1395660016727	6.46122412994348e-302	6.47397654598942e-301
"fhs1"	23983.6234783836	3.82731530013874	0.0626631643664915	61.0775938118018	0	0
"bsaA"	1987.56826222151	3.8226061937195	0.0840840800057832	45.4617115803204	0	0
"dcuS_1"	533.549514759447	3.819495616191	0.135507604599606	28.1865776277038	8.54135877623288e-175	5.33134812139454e-174
"spxA_2"	3025.14768746551	3.76934037924839	0.0755294010644073	49.9056039916708	0	0
"lysA"	7136.72809034799	3.69196262758603	0.068691208720428	53.7472363110139	0	0
"purK"	19667.2563865825	3.6468206022463	0.0573770083314762	63.5589186033895	0	0
"fldH_2"	15.4783503023874	3.59873678893365	0.669128686143825	5.37824317422871	7.52161801892576e-08	1.08788454347806e-07
"ydeA"	1782.99982110867	3.56436839768477	0.0964624924069749	36.9508221148455	7.065367310616e-299	7.03304210069815e-298
"dapF"	6257.62717033863	3.41559850599716	0.0624192708722503	54.7202563930561	0	0
"yoeB"	8342.39354435131	3.3803016509302	0.0626553327541302	53.9507413390502	0	0
"ohrB_1"	10655.1016546546	3.32204544486106	0.0798481094170671	41.6045598213123	0	0
"glcU_2"	5411.26544229585	3.30489473627357	0.0608106298568725	54.3473196059992	0	0
"bglF_2"	198.747966133811	3.30233368467982	0.21933867588876	15.055865871802	3.15935611362974e-51	8.44157782641771e-51
"manP"	4796.17381642081	3.27298225019595	0.0870699148344434	37.590277381335	0	0
"argS"	119422.01648798	3.26739155985712	0.0508011731663802	64.3172461619342	0	0
"dcuR"	390.902223854876	3.23731625755126	0.138585548633202	23.359695794253	1.09843847265041e-120	5.21159437335383e-120
"acyP"	2805.65677581212	3.20691908328274	0.0906566161940816	35.3743523408951	4.23480702970804e-274	3.83905422990794e-273
"malF"	92.6350279904682	3.14307090605972	0.28258012365639	11.1227600348905	9.72171087196582e-29	2.06214006378885e-28
"adeC"	4772.38484620518	3.10666008391884	0.0767261639732416	40.490230751042	0	0
"tuf_2"	40389.6706585013	3.06873313244188	0.0675342657102721	45.4396460843598	0	0
"gap_1"	31998.3303167357	3.03278302245528	0.0494914697645119	61.2789039583132	0	0
"feoB"	2162.58943019149	3.02356080351078	0.0829644508981973	36.4440524920834	8.54597067063464e-291	8.29013587985768e-290
"dapA"	4653.48708523	3.00818890844831	0.0704082826588816	42.724929437955	0	0
"gatB_1"	9.96831796293281	2.87525608785776	0.806903907971361	3.56331907610468	0.000366195115526375	0.000471646754531801
"pepC"	13057.2641872526	2.84661072747506	0.0566018854758169	50.2918004152224	0	0
"xpkA_1"	2209.38501937818	2.81346423091082	0.0753048694682838	37.3609867565838	1.68144600155809e-305	1.73029882457633e-304
"dapB"	3028.95281549477	2.80574065697816	0.0727481140845064	38.5678816871998	0	0
"pemK"	8789.4350199466	2.79455593297164	0.0744516528485499	37.5351765347151	0	0
"gdhIV"	6737.6843297324	2.78051330266003	0.0635753198043381	43.7357344204866	0	0
"xpkA_2"	4694.42733449711	2.75865882404342	0.0586811912149084	47.0109547357411	0	0
"lsrC_2"	3417.67707147571	2.75005894030813	0.0613099355523982	44.8550290508429	0	0
"rex_2"	766.797273693412	2.71817600852751	0.110434391329236	24.6134920092408	9.0582688725599e-134	4.61396103441763e-133
"brnQ_1"	15055.9083084606	2.7071556255881	0.0591874072016494	45.7387095259117	0	0
"pfkB"	66.5324620366728	2.70201698120691	0.305964110684964	8.83115661885272	1.03598805208085e-18	1.86723053647235e-18
"hpf"	46184.6664010054	2.66905245197361	0.0654269470467015	40.7943908809997	0	0
"ndk"	5700.87380619151	2.6686332925114	0.0593532214081722	44.9618947244532	0	0
"asd"	5222.65735521017	2.61574044098457	0.0685569947625897	38.1542459677934	0	0
"xpkA_3"	1171.54214021062	2.6084413597554	0.0831754869513383	31.360698390398	6.95400178373797e-216	5.269126724693e-215
"yvgN"	13166.4978146608	2.54819301064394	0.056546735756554	45.0634855673096	0	0
"cmpD"	5104.66198436264	2.51201069956184	0.0749771311339645	33.5036918800418	4.25847959564012e-246	3.52481762182603e-245
"crtK-2"	4330.3351234845	2.48651734458606	0.0714291814699961	34.8109455185416	1.66119788204296e-265	1.47953472184294e-264
"ptsG_3"	41.8532698667881	2.4816873291994	0.346129629640529	7.1698205431784	7.50961402470563e-13	1.22453342180157e-12
"luxA"	873.397617037628	2.47009342804144	0.101988441164601	24.2193468184783	1.39160271664362e-129	6.94888831950238e-129
"dapH"	3228.35520479187	2.46683837169001	0.0893393267000509	27.6120098819661	7.9836943562179e-168	4.88319939940556e-167
"yxeP"	4604.80097461553	2.46382440909368	0.070018724524595	35.1880789863321	3.04287902601683e-271	2.72606162154331e-270
"mgsA"	803.762744334249	2.45622397006416	0.0900265828836251	27.2833188974778	6.69127516100658e-164	3.98078596492696e-163
"licH"	1082.6806690195	2.45334982313336	0.0858450850399474	28.5788035738064	1.23250352421117e-179	7.88698683770424e-179
"yclM"	8448.42537866023	2.44846655843431	0.0751331881285538	32.5883490295255	5.99781258961841e-233	4.75763988228585e-232
"bbmA"	91.1019075211016	2.43983927449085	0.24605759401108	9.91572434208626	3.55667154498975e-23	6.93573721257284e-23
"trxA_2"	415.863144251279	2.42703053831656	0.148251926031764	16.3709882446758	3.08169071829345e-60	9.07817207729386e-60
"yjhB_1"	692.376911046944	2.41413475270357	0.104466505204987	23.1091750218549	3.74406135328044e-118	1.74379371285814e-117
"ctc"	11386.8215541595	2.38457788724893	0.0560167745427341	42.5689966392081	0	0
"spxA_3"	30691.4639174563	2.35443686580295	0.0608222075755146	38.7101514340756	0	0
"xerS_1"	1680.51774004174	2.33751210707804	0.0706366713327102	33.0920478410991	3.86751314855724e-240	3.14985161778218e-239
"glvR"	49.3090569008684	2.31974392836857	0.329817852210234	7.03340923732021	2.01547100315335e-12	3.26202161296765e-12
"nlhH"	8538.16451804719	2.30260942157477	0.0692307037104514	33.2599453445561	1.46603755109923e-242	1.20041676899147e-241
"rpoN1"	3280.12535125899	2.29875225536313	0.0721827705479243	31.84627353472	1.48234649047062e-222	1.15775061794192e-221
"appA"	60200.526895312	2.29807534014181	0.049211238123069	46.6981817119642	0	0
"yhdN"	8609.4116360971	2.22965198475348	0.0749737549931291	29.7390998351065	2.39910799757778e-194	1.64587454068061e-193
"licA_1"	20.9219446956288	2.21764047157712	0.470691112414797	4.71145601241525	2.45953189509141e-06	3.38992495585903e-06
"licT_1"	4331.78848469872	2.20740165561824	0.0893297728824306	24.7107048903333	8.20595849186782e-135	4.23649992647956e-134
"fra"	500.393970630303	2.20650255333775	0.123790167692891	17.8245380425676	4.55840550284352e-71	1.49300033996359e-70
"lacF_1"	275.607144566522	2.16963503870382	0.142245721036839	15.2527262183298	1.57900284842349e-52	4.26386762083151e-52
"mazE"	12128.9504675419	2.14107515536152	0.0872735336984535	24.5329261303815	6.58058047241617e-133	3.329642544681e-132
"patA_1"	7107.8332077748	2.10171033496891	0.0693718166489298	30.296313928249	1.2819481791256e-201	9.16623040755068e-201
"yheI"	4123.89971902243	2.10008214382918	0.0549138487738483	38.2432153404135	0	0
"dhaL"	829.274052164317	2.07855582204166	0.0993708512741574	20.9171582550608	3.73730770401853e-97	1.51784523552539e-96
"hmpT"	5902.23350499607	2.049598827395	0.0530653377058119	38.624060752383	0	0
"araN_1"	880.977844542247	2.04956647987413	0.0888667426827584	23.0633690174826	1.08009875501304e-117	5.01521464599044e-117
"yheS_2"	3311.26965886792	2.01331957624039	0.0636483717587687	31.6319101432948	1.34488834249412e-219	1.03447724526189e-218
"dtd3_1"	1410.72358668905	2.0093595290669	0.0871714358992919	23.0506645707694	1.44849931551879e-117	6.70536309281192e-117
"yheH"	3959.54817431049	2.00541743519631	0.054832001106399	36.5738509397985	7.4504534170467e-293	7.27374394497572e-292
